# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = bernoulli.data.R
# init = 2 (Default)
# random
#   seed = 1447660270
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta
# Adaptation terminated
# Step size = 0.892405
# Diagonal elements of inverse mass matrix:
# 0.459111
-6.78455,1,0.892405,2,3,0,0.217271
-7.05577,0.958932,0.892405,2,3,0,0.161404
-7.19125,0.98074,0.892405,1,1,0,0.146162
-7.26487,0.990159,0.892405,1,1,0,0.139173
-7.03671,1,0.892405,1,1,0,0.16388
-7.23011,0.972559,0.892405,1,1,0,0.14238
-7.30394,0.990341,0.892405,1,1,0,0.135743
-6.82828,0.950267,0.892405,2,3,0,0.302158
-6.87462,0.944992,0.892405,2,3,0,0.190876
-6.92003,0.903142,0.892405,2,3,0,0.327607
-8.84535,0.723273,0.892405,3,7,0,0.0639069
-8.67142,1,0.892405,1,1,0,0.0687931
-6.74806,0.898591,0.892405,2,3,0,0.251027
-6.92261,0.957256,0.892405,2,3,0,0.181396
-6.94848,0.941577,0.892405,2,3,0,0.334099
-6.91432,0.913203,0.892405,2,3,0,0.182912
-6.8199,0.969488,0.892405,2,3,0,0.299263
-8.3979,0.782717,0.892405,3,7,0,0.0775187
-6.74814,1,0.892405,2,3,0,0.248081
-8.51481,0.605037,0.892405,2,3,0,0.0736182
-9.2451,0.951924,0.892405,1,1,0,0.0542358
-9.01498,1,0.892405,1,1,0,0.0595599
-8.82864,1,0.892405,1,1,0,0.0643564
-6.87968,0.976559,0.892405,2,3,0,0.189787
-6.94773,0.988837,0.892405,1,1,0,0.177046
-6.97624,0.870524,0.892405,2,3,0,0.340036
-6.78383,1,0.892405,3,7,0,0.217584
-6.78999,0.995787,0.892405,2,3,0,0.215004
-6.78999,0.93343,0.892405,2,3,0,0.215004
-7.44793,0.92287,0.892405,2,3,0,0.124432
-7.60503,0.982014,0.892405,1,1,0,0.113938
-6.74919,1,0.892405,2,3,0,0.243994
-7.69486,0.82148,0.892405,2,3,0,0.441459
-6.83794,0.915542,0.892405,2,3,0,0.199647
-6.82149,0.777015,0.892405,2,3,0,0.299825
-6.85101,0.993171,0.892405,1,1,0,0.309371
-6.7481,0.997322,0.892405,2,3,0,0.248451
-7.02002,0.942217,0.892405,2,3,0,0.348763
-7.05378,0.991591,0.892405,1,1,0,0.355059
-7.09074,0.82608,0.892405,2,3,0,0.157105
-6.81512,0.938875,0.892405,2,3,0,0.206174
-6.81512,0.876218,0.892405,2,3,0,0.206174
-6.82445,0.942845,0.892405,2,3,0,0.203375
-6.78893,0.984871,0.892405,2,3,0,0.286836
-6.78893,0.602769,0.892405,2,3,0,0.286836
-6.77899,1,0.892405,1,1,0,0.281936
-7.06768,0.895983,0.892405,2,3,0,0.159906
-7.09296,0.907891,0.892405,3,7,0,0.361979
-6.78067,0.983207,0.892405,2,3,0,0.28281
-6.75934,0.910639,0.892405,2,3,0,0.231518
-6.78032,0.920994,0.892405,2,3,0,0.282628
-7.36292,0.811122,0.892405,2,3,0,0.130877
-6.87346,0.997156,0.892405,2,3,0,0.19113
-6.82358,1,0.892405,1,1,0,0.203627
-6.78043,0.983188,0.892405,3,7,0,0.282687
-6.74803,0.999115,0.892405,2,3,0,0.249399
-7.34627,0.926549,0.892405,2,3,0,0.399995
-7.48854,0.659446,0.892405,3,7,0,0.121558
-6.88478,0.994278,0.892405,3,7,0,0.31883
-7.04711,0.987088,0.892405,2,3,0,0.353842
-7.65513,0.85435,0.892405,1,1,0,0.437152
-7.65513,0.642634,0.892405,1,1,0,0.437152
-6.75006,0.996086,0.892405,2,3,0,0.258036
-6.74828,0.896089,0.892405,2,3,0,0.252839
-7.02402,0.930805,0.892405,2,3,0,0.165586
-6.94588,1,0.892405,1,1,0,0.177356
-6.88229,1,0.892405,1,1,0,0.189236
-6.74803,0.995684,0.892405,2,3,0,0.250411
-7.30893,0.863389,0.892405,2,3,0,0.135317
-6.76676,1,0.892405,2,3,0,0.226339
-7.19379,0.902866,0.892405,2,3,0,0.378286
-7.19379,0.775864,0.892405,1,1,0,0.378286
-7.22821,1,0.892405,3,7,0,0.14256
-7.16427,1,0.892405,1,1,0,0.148921
-6.76402,0.989609,0.892405,2,3,0,0.228097
-9.00058,0.730418,0.892405,2,3,0,0.0599143
-10.1205,0.959517,0.892405,3,7,0,0.0385598
-7.57916,1,0.892405,2,3,0,0.115556
-7.19265,1,0.892405,1,1,0,0.146021
-6.86426,0.942896,0.892405,2,3,0,0.31323
-6.80142,1,0.892405,1,1,0,0.29225
-6.88648,0.980526,0.892405,1,1,0,0.319276
-7.47991,0.916582,0.892405,3,7,0,0.122159
-7.19098,0.886775,0.892405,2,3,0,0.377855
-6.88403,1,0.892405,2,3,0,0.318633
-6.99553,0.973362,0.892405,1,1,0,0.343967
-6.84363,1,0.892405,2,3,0,0.307118
-6.7905,0.989594,0.892405,2,3,0,0.287555
-6.96411,0.924156,0.892405,2,3,0,0.174385
